Country Name,Country Code,gdp,lit_rate,inflation_rate,urban_rate,export,labor_rate,unemployment_rate,gov_spend,primary_rate
Aruba,ABW,27441.52966,,-0.9311959871,43.192,71.82043501,,,5.52415,
Afghanistan,AFG,522.0822156,,4.383891955,25.02,,,11.31299973,4.22836,80.49504
Angola,AGO,1807.952941,,30.69441508,64.149,28.12448545,,7.22300005,,
Albania,ALB,4124.05539,,-0.3673172098,58.421,28.97789918,57.314,15.22000027,3.96209,99.88155
Andorra,AND,40129.8192,,,88.248,,,,3.23707,
Arab World,ARB,5957.059837,73.71795654,2.676591701,57.65310275,38.12802545,49.13588198,10.27383543,,84.32259
United Arab Emirates,ARE,41326.40182,,1.617488089,85.965,97.66312109,80.57,1.636000037,,
Argentina,ARG,12699.96231,,,91.627,12.52709517,,7.977000237,5.54549,103.89357
Armenia,ARM,3524.424769,100,-1.403607559,63.082,33.74427986,60.719,17.61700058,2.75812,90.75161
American Samoa,ASM,12843.33429,,,87.198,63.93442623,,,,
Antigua and Barbuda,ATG,16557.84317,,-0.4894377962,24.846,70.01991462,,,,
Australia,AUS,49888.04108,,1.276990945,85.8,19.27874425,64.879,5.710000038,5.27678,
Austria,AUT,45061.49939,,0.8915917527,57.905,52.66340208,61.134,6.013999939,5.48435,99.65672
Azerbaijan,AZE,3880.685228,100,12.44337486,55.021,46.42764939,66,5,2.90341,111.30191
Burundi,BDI,235.2862054,65.68773651,5.557689614,12.388,6.38452219,,1.527999997,4.692,67.67451
Belgium,BEL,41854.54983,,1.973852647,97.919,79.61813171,53.11,7.829999924,6.45954,
Benin,BEN,1010.533896,,-0.7933101458,46.229,27.60678807,,2.536999941,2.8991,80.74556
Burkina Faso,BFA,663.7423648,,0.4410414481,28.134,25.9159648,,6.343999863,,61.72434
Bangladesh,BGD,1649.283809,73,5.513525727,35.083,13.92120448,56.09,4.349999905,1.53554,
Bulgaria,BGR,7570.931655,,-0.7986498865,74.329,63.86093053,53.331,7.574999809,,92.04534
Bahrain,BHR,23800.00144,,2.786793476,89.09,70.18014794,,0.9190000296,,99.51365
"Bahamas, The",BHS,30266.58592,,-0.34637693,82.832,33.21725656,,12.69999981,,77.42339
Bosnia and Herzegovina,BIH,4928.566525,,-1.5841,47.518,35.90870939,43.054,25.40800095,,
Belarus,BLR,5039.775609,,11.83658077,77.661,62.50934712,70.826,5.840000153,4.94655,96.86775
Belize,BLZ,6142.498732,,0.6634271679,45.495,47.29488439,64.25,7,7.28477,105.33762
Bermuda,BMU,108747.3561,,,100,49.33005658,,,,
Bolivia,BOL,3035.873478,,3.623214318,68.738,24.48800553,67.359,3.525000095,,89.91243
Brazil,BRA,8836.286526,93,8.739143523,86.042,12.46667904,63.876,11.60000038,6.31404,
Barbados,BRB,19065.80698,,1.281928131,31.193,,65.436,9.720000267,4.95139,
Brunei Darussalam,BRN,26663.29732,,-0.2786932658,76.99,49.57777708,,8.711000443,4.42541,
Bhutan,BTN,3152.309051,,3.219886894,39.428,27.12283395,,2.415999889,6.99333,100.66216
Botswana,BWA,6749.059943,,2.814957914,67.933,54.61135476,,17.6590004,,
Central African Republic,CAF,387.1762034,,4.945432761,40.618,14.82187966,,3.819000006,,40.87417
Canada,CAN,42314.06158,,1.428759547,81.3,31.50257241,65.923,6.999000072,,
Central Europe and the Baltics,CEB,12836.56663,99.3502121,-0.05499954167,62.18827484,62.23465498,56.26163586,,,97.44619
Switzerland,CHE,82153.07454,,-0.4346186643,73.739,66.81772593,68.569,4.918000221,5.10473,96.82687
Channel Islands,CHI,55950.14854,,,30.93,,,7.857999802,,
Chile,CHL,13649.85205,,3.786193559,87.422,27.92315811,62.155,6.737999916,5.34201,95.48255
China,CHN,8094.390167,,2.000001822,56.736,19.58438005,70.89,4.534999847,,
Cote d'Ivoire,CIV,1862.595971,50.03968048,0.7231784575,49.881,24.94186245,66.829,2.598999977,3.97232,64.16321
Cameroon,CMR,1441.720173,,0.8741903833,55.179,18.94997876,,3.471999884,2.65423,73.39319
"Congo, Dem. Rep.",COD,442.3104721,77,2.885851073,43.307,23.9564422,,4.356999874,2.11869,
"Congo, Rep.",COG,2093.107286,,3.190561797,66.001,42.06852605,,9.857999802,,
Colombia,COL,5959.842504,95,7.513460246,80.108,14.71713928,66.418,8.692000389,4.47721,101.71125
Comoros,COM,1365.484034,,,28.619,10.67289558,,4.449999809,,
Cabo Verde,CPV,3608.966066,,-1.407816371,64.784,41.47294872,,12.10599995,5.28879,91.03706
Costa Rica,CRI,12091.03016,,-0.01747885059,77.735,31.2600963,59.687,8.597999573,7.09768,97.32091
Caribbean small states,CSS,11358.70308,,0.1418162257,46.16592139,,,,,91.14359
Cuba,CUB,8110.55874,,,76.93,14.98296913,,2,,92.82561
Curacao,CUW,18944.09615,,-0.04720798489,89.272,62.99550991,,,,
Cayman Islands,CYM,77802.25416,,-0.6252583586,100,,,,,
Cyprus,CYP,24715.1543,,-1.429166667,66.881,70.48405223,61.299,12.94999981,6.1638,98.46739
Czechia,CZE,18753.96867,,0.6835042094,73.57,78.10833301,59.919,3.950999975,5.58738,97.06747
Germany,DEU,42961.03569,,0.4917470084,77.224,41.6238177,61.028,4.122000217,4.84022,97.9372
Djibouti,DJI,2510.430008,,2.738412087,77.528,103.7640251,,10.51000023,3.92439,67.35251
Dominica,DMA,8278.447686,,0.1418162257,69.88,44.63112699,,,,113.9267
Denmark,DNK,54500.92604,,0.25,87.642,53.7439529,61.652,6.181000233,,103.88269
Dominican Republic,DOM,7174.823496,94,1.614166072,79.436,23.90937952,62.451,7.282999992,,99.15803
Algeria,DZA,4424.98529,,6.397694803,71.459,18.48668797,41.871,10.20199966,,105.59005
East Asia & Pacific (excluding high income),EAP,6575.525088,95.40149689,1.917310902,53.68977781,23.39203344,70.0610676,4.024462527,,93.70793
Early-demographic dividend,EAR,3262.320018,78.67870331,3.523173176,44.21601741,22.67389986,,,,92.40387
East Asia & Pacific,EAS,9832.130363,95.13195801,1.276990945,57.30274816,28.15281224,69.03642737,3.98654298,,94.07993
Europe & Central Asia (excluding high income),ECA,5977.234888,98.52690125,2.134927139,62.85261825,28.31317319,59.70794145,7.543685572,,96.74023
Europe & Central Asia,ECS,22476.26688,98.33891296,0.3566845009,71.80174587,41.5665124,60.38368157,8.096095578,,97.10243
Ecuador,ECU,5917.637713,94,1.728264633,63.534,20.53929116,67.669,4.597000122,,103.55574
"Egypt, Arab Rep.",EGY,3270.628777,,13.81360621,42.732,10.34546394,46.63,12.40699959,,96.90645
Euro area,EMU,35178.85027,,0.1660098844,76.31098698,44.56595724,57.01159472,10.02740381,,96.16421
Eritrea,ERI,,,,38.827,,,5.284999847,,
Spain,ESP,26740.68518,98,-0.2025980004,79.84,33.57703298,58.524,19.63500023,4.22764,101.20973
Estonia,EST,18666.37365,,0.1486849076,68.563,75.47686216,62.988,6.762000084,5.17054,96.44263
Ethiopia,ETH,696.1958847,47.49158859,6.628133372,19.866,7.812080503,,2.167999983,,
European Union,EUU,31404.4306,,0.1833348611,74.10666959,45.79623584,57.18714174,8.528608997,,97.34049
Fragile and conflict affected situations,FCS,1632.337453,64.450737,3.190561797,42.21402428,,,,,72.46175
Finland,FIN,43451.25624,,0.3566845009,85.275,35.33333024,58.608,8.81799984,6.85153,100.88497
Fiji,FJI,5363.790256,,3.863225382,55.235,46.64724148,57.584,4.318999767,,107.01842
France,FRA,37024.21571,,0.1833348611,79.917,31.49821007,55.933,10.05700016,,
Faroe Islands,FRO,56875.28038,,,41.777,54.53633397,,,,
"Micronesia, Fed. Sts.",FSM,2979.601192,,-1.037468064,22.526,28.2724,,,,91.05622
Gabon,GAB,6677.070039,,2.106707128,88.559,44.03534729,,20.1590004,,
United Kingdom,GBR,40985.23514,,1.008417368,82.886,28.90233952,62.721,4.813000202,5.4267,100.88255
Georgia,GEO,4143.401257,,2.134927139,57.837,39.99929253,68.425,16.60400009,3.59387,115.43395
Ghana,GHA,1913.186733,,17.45463471,54.749,31.19323915,,5.449999809,4.48683,
Gibraltar,GIB,,,,100,,,,,94.68085
Guinea,GIN,711.9965098,,8.172681123,35.46,29.3715126,,4.392000198,2.54456,59.66737
"Gambia, The",GMB,650.0565013,,7.228792721,59.918,12.75563479,,9.248999596,2.02443,69.27261
Guinea-Bissau,GNB,679.6653866,,1.503120559,42.533,23.77473104,,2.565999985,,
Equatorial Guinea,GNQ,7453.197979,,1.411939155,71.138,51.41282994,,6.585000038,,
Greece,GRC,17919.24264,,-0.8256539784,78.387,31.17938602,51.665,23.53899956,,97.33734
Grenada,GRD,9221.234611,,1.650389944,36.072,,,,,
Greenland,GRL,48181.74535,,,86.326,40.76504771,,,,
Guatemala,GTM,4060.137556,,4.448441999,50.319,18.75308929,60.689,2.582999945,2.94474,79.13231
Guam,GUM,35930.65949,,,94.617,18.96288765,,5.400000095,,
Guyana,GUY,5870.878238,,0.8360080615,26.482,,,12.05500031,6.061,
High income,HIC,37140.55958,,0.4432581576,79.79702257,29.74443184,61.60913145,6.148357709,,98.38575
"Hong Kong SAR, China",HKG,43734.19807,,2.409307439,100,187.0051289,61.052,3.390000105,3.29265,104.1517
Honduras,HND,2307.344684,89,2.724612233,55.813,42.71410478,63.323,6.727000237,,80.47022
Heavily indebted poor countries (HIPC),HPC,893.0105975,61.49433899,4.664662358,35.15702878,20.98342037,,4.577639303,,65.93409
Croatia,HRV,12821.17381,,-1.125,56.403,46.61654836,51.316,13.10299969,,101.02
Haiti,HTI,1318.402682,61.69134903,11.50290739,53.396,11.60197094,,13.88099957,2.44959,
Hungary,HUN,13104.69955,,0.3947693067,70.779,86.40473829,55.696,5.114999771,4.65539,98.59476
IBRD only,IBD,5513.077153,88.51596069,2.120817134,53.86403285,23.67619562,65.5322838,,,94.98825
IDA & IBRD total,IBT,4431.3044,83.70352936,2.818332881,49.23454772,23.17900955,,,,87.59809
IDA total,IDA,1313.252079,65.75422668,3.371530035,35.87907732,18.03314187,,,,72.92838
IDA blend,IDB,1787.0344,65.67326355,2.420475871,41.23387229,,62.61444485,,,74.99394
Indonesia,IDN,3521.469435,95,3.525805157,53.989,19.08899385,66.314,4.301000118,,
IDA only,IDX,1072.25259,65.79447174,3.741030821,33.15078135,20.30539037,,,,72.19613
Isle of Man,IMN,82025.94545,,,52.343,,84.18,,,
India,IND,1707.508929,,4.948216341,33.182,19.15823491,,5.511000156,,96.2307
Ireland,IRL,64292.65997,,0.0201247736,62.737,124.1971803,62.178,8.373999596,3.71973,99.69188
"Iran, Islamic Rep.",IRN,5477.037124,86,7.24542549,73.88,21.161708,42.586,12.43000031,3.36576,100.26438
Iraq,IRQ,4334.420964,83,0.5565213972,70.094,28.10852368,43.15,10.81999969,,
Iceland,ISL,61987.92636,,1.69692762,93.735,47.48403629,83.807,2.977999926,7.49521,99.95251
Israel,ISR,37556.62729,,-0.551552353,92.256,30.06171525,65.635,4.797999859,5.85713,103.57875
Italy,ITA,31126.32469,,-0.09401665692,69.855,28.79874889,49.501,11.68799973,3.81579,97.74971
Jamaica,JAM,5009.794501,,2.351021975,55.098,31.81345561,63.172,13.19200039,5.31508,85.9205
Jordan,JOR,3986.71677,,-0.7784304631,90.506,34.39521007,,15.27499962,3.51412,72.06589
Japan,JPN,39375.47316,,-0.1272588445,91.457,16.05796924,59.986,3.099999905,3.18618,
Kazakhstan,KAZ,7475.566887,,14.36109424,57.264,31.84388864,70.21,4.960000038,2.9781,110.29858
Kenya,KEN,1554.126103,,6.297249538,26.105,13.2497448,74.405,2.756999969,5.36267,99.67874
Kyrgyz Republic,KGZ,1103.274984,,0.3888382969,35.944,35.82540888,59.215,7.210000038,6.58615,101.78587
